genename	IC	alleles	BA1	BS1	BS2	BS2_db	BS2_sup	BS2_sup_db	status	PM2	PM2_sup	op_phylop_ben	op_phylop_pat	phylop_ben	phylop_pat	op_phastcons_ben	op_phastcons_pat	phastcons_ben	op_gerp_ben	op_gerp_pat	gerp_ben	op_revel_ben	op_revel_pat	revel_ben	revel_pat	op_VEST4_ben	op_VEST4_pat	VEST4_ben	VEST4_pat	op_provean_ben	op_provean_pat	provean_ben	provean_pat	op_bayesDel_noAF_ben	op_bayesDel_noAF_pat	bayesDel_noAF_ben	bayesDel_noAF_pat	op_agvgd_ben	op_agvgd_pat	agvgd_ben	agvgd_pat	op_spliceai_ben	op_spliceai_pat	spliceai_ben	spliceai_pat	op_trap_ben	op_trap_pat	trap_ben	trap_pat	op_prior_utah_prot_ben	op_prior_utah_prot_pat_sup	op_prior_utah_prot_pat_mod	prior_utah_prot_ben	prior_utah_prot_pat_sup	prior_utah_prot_pat_mod	BP7_splicing	op_polyphen_ben	op_polyphen_pat	polyphen_pat	polyphen_ben	op_MAPP_ben	op_MAPP_pat	MAPP_ben	MAPP_pat	phastcons_pat	gerp_pat
ATM	0.95	0	0.005	0.0005	NA	NA	NA	NA	NA	NA	1E-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	<	>	0.249	0.733	<=	>	0.5	0.5	>	<=	-2.5	-2.5	NA	NA	NA	NA	NA	NA	NA	NA	<=	>=	0.15	0.5	<=	>=	0.459	0.93	NA	NA	NA	NA	NA	NA	Independent	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CDH1	0.9999	2000	0.002	0.001	10	FLOSSIES	3	FLOSSIES	hete_healthy	NA	1E-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	<=	>	0.5	0.5	>	<=	-2.5	-2.5	NA	NA	NA	NA	NA	NA	NA	NA	<=	>=	0.15	0.5	<=	>=	0.459	0.93	NA	NA	NA	NA	NA	NA	Independent	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CHEK2	0.99	0	0.01	0.005	NA	NA	NA	NA	NA	1E-05	5E-05	<	>=	6.66	6.66	NA	NA	NA	NA	NA	NA	<	>=	0.7	0.7	<=	>	0.5	0.5	>	<=	-2.5	-2.5	NA	NA	NA	NA	NA	NA	NA	NA	<=	>=	0.15	0.5	<=	>=	0.459	0.93	NA	NA	NA	NA	NA	NA	Dependent	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
general	0.99	0	0.01	0.005	2	FLOSSIES	2	GNOMAD_non_cancer	homo_healthy	1E-05	2E-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	<	>=	0.7	0.7	<=	>	0.5	0.5	>	<=	-2.5	-2.5	NA	NA	NA	NA	NA	NA	NA	NA	<=	>=	0.15	0.5	<=	>=	0.459	0.93	NA	NA	NA	NA	NA	NA	Dependent	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MLH1	0.95	0	0.001	0.0001	NA	NA	NA	NA	homo_healthy	NA	2E-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	<=	>	0.5	0.5	>	<=	-2.5	-2.5	NA	NA	NA	NA	NA	NA	NA	NA	<=	>=	0.15	0.5	<=	>=	0.459	0.93	<	>	>=	0.11	0.68	0.81	Independent	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSH2	0.95	0	0.001	0.0001	NA	NA	NA	NA	homo_healthy	NA	2E-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	<=	>	0.5	0.5	>	<=	-2.5	-2.5	NA	NA	NA	NA	NA	NA	NA	NA	<=	>=	0.15	0.5	<=	>=	0.459	0.93	<	>	>=	0.11	0.68	0.81	Independent	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSH6	0.95	0	0.0022	0.00022	NA	NA	NA	NA	homo_healthy	NA	2E-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	<=	>	0.5	0.5	>	<=	-2.5	-2.5	NA	NA	NA	NA	NA	NA	NA	NA	<=	>=	0.15	0.5	<=	>=	0.459	0.93	<	>	>=	0.11	0.68	0.81	Independent	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PMS2	0.95	0	0.0028	0.00028	NA	NA	NA	NA	homo_healthy	NA	2E-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	<=	>	0.5	0.5	>	<=	-2.5	-2.5	NA	NA	NA	NA	NA	NA	NA	NA	<=	>=	0.15	0.5	<=	>=	0.459	0.93	<	>	>=	0.11	0.68	0.81	Independent	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTEN	NA	2000	0.01	0.001	2	FLOSSIES	2	GNOMAD_non_cancer	homo_healthy	1E-05	NA	<	>=	0.1	0.1	!=	=	1	NA	NA	NA	NA	NA	NA	NA	<=	>	0.5	0.5	>	<=	-2.5	-2.5	NA	NA	NA	NA	NA	NA	NA	NA	<=	>=	0.15	0.5	<=	>=	0.459	0.93	NA	NA	NA	NA	NA	NA	Dependent	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TP53	0.9999	0	0.001	0.0003	8	FLOSSIES	2	FLOSSIES	hete_healthy	NA	0	<	>=	6.66	6.66	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	<=	>	0.5	0.5	>	<=	-2.5	-2.5	<	>=	0.16	0.16	<=	>=	15	25	<=	>=	0.15	0.5	<=	>=	0.459	0.93	NA	NA	NA	NA	NA	NA	Dependent	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
